区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
管庄租房,住欣家园,西南2居室，家具家电全齐，拎包入住。,2室1厅,69平米,5000,低楼层(共26层),2010年建塔楼,西南,2017.07.26,1, 距离6号线草房站587米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101856969.html
望京租房,星源国际,朝阳望京星源国际 望京站 可办公两居室 业主长租,2室2厅,106平米,10000,高楼层(共30层),2004年建板塔结合,东,2017.07.25,1, 距离15号线望京站551米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101858402.html
鲁谷租房,远洋山水,远洋山水 东南向两居 全明格局 可以长租 随时入住,2室1厅,112平米,6900,中楼层(共26层),2006年建板塔结合,东南,2017.07.25,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101858685.html
鲁谷租房,聚兴园,新装修两居室   南北通透   诚心出售 看房随时,2室1厅,95平米,6000,高楼层(共13层),2006年建板塔结合,南 北,2017.07.27,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101859154.html
皂君庙租房,皂君庙甲16号院,鑫雅苑精装大三居 随时看房 随时入住,3室1厅,129平米,11000,低楼层(共16层),1999年建板塔结合,西南 东北,2017.07.26,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101858131.html
安贞租房,安贞西里,安贞西里朝南一居室，干净整洁，东西齐全，拎包入住。,1室1厅,42平米,5000,高楼层(共6层),1985年建板楼,南,2017.07.24,2, 距离8号线北土城站501米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101836932.html
酒仙桥租房,瞰都国际,瞰都国际 东南向两居室 随时可以入住地铁14东风北桥站,2室1厅,86平米,9500,低楼层(共19层),2005年建塔楼,东南,2017.07.24,4, 距离14号线(东段)东风北桥站754米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101842523.html
武夷花园租房,运河园,运河园   东关大桥  北运河西  武夷花园,1室1厅,76平米,2800,高楼层(共6层),2001年建板楼,南,2017.07.27,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101841148.html
紫竹桥租房,富丽小区,正规两居室，家具家电齐。看房随时,2室1厅,92平米,7000,中楼层(共18层),1999年建塔楼,南 西,2017.07.26,4, 距离6号线慈寿寺站1043米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101848893.html
朝阳公园租房,观湖国际,东西通透二居室 保养好 看房方便,2室2厅,127平米,17000,中楼层(共25层),2007年建板楼,东 西,2017.07.27,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101855013.html
大望路租房,后现代城,后现代城  两居半带书房  拎包入住,2室1厅,91平米,8300,高楼层(共27层),2007年建塔楼,东北,2017.07.26,3, 距离7号线大郊亭站743米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101826907.html
东直门租房,万国城MOMA,万国城大三居，小区中间位置，空房出租，可配家具！,3室2厅,244平米,36500,高楼层(共22层),2006年建塔楼,东南,2017.07.17,15, 距离2号线东直门站1101米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101714161.html
西单租房,天安国汇,双朝东精装两居室，家具家电齐，拎包入住,2室2厅,228平米,35000,中楼层(共18层),2008年建塔楼,东,2017.07.21,5, 距离1号线西单站401米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101541790.html
双井租房,富力城C区,双井CBD 富力城复式四居 南北通透 小区优美 随时入住,4室2厅,240平米,32000,低楼层(共16层),2005年建板塔结合,东 南 北,2017.07.23,6, 距离10号线双井站650米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101584930.html
太阳宫租房,万方景轩,万方景轩精装大开间 随时可看 拎包入住 ,1室0厅,50平米,6800,中楼层(共20层),2005年建板塔结合,东北,2017.07.20,40, 距离10号线太阳宫站23米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101589599.html
双井租房,富力城A区,富力城精装修四居室，空房出租，小区中间位置。,4室1厅,175平米,23000,高楼层(共28层),2004年建板塔结合,南 北,2017.07.24,13, 距离10号线双井站264米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101590598.html
天宁寺租房,广安门外南街67号院,简装两居室，朝向好，业主急租。,2室1厅,54平米,4600,高楼层(共6层),1991年建板楼,南,2017.07.19,40, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101489713.html
望京租房,望京新城,望京新城短租两居 地铁望京站 干净整洁 户型方正,2室1厅,92平米,7800,中楼层(共26层),1997年建塔楼,西南,2017.07.26,18, 距离14号线(东段)阜通站425米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101708010.html
阜成门租房,百万庄大街甲21号院,北京市市委党校院内 三居改两居 8500 拎包入住 ,3室1厅,76平米,8500,高楼层(共6层),1995年建板楼,南 北,2017.07.20,19, 距离6号线车公庄西站739米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101723200.html
苏州桥租房,纽约客,苏州街   正南向  无遮挡  4.8平米窗户 ,1室1厅,53平米,9000,高楼层(共15层),2006年建塔楼,南,2017.07.27,22, 距离10号线苏州街站386米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101730457.html
万柳租房,碧水云天,碧水二期南北四居室带车位出租 中间单元 安静,4室2厅,187平米,25000,中楼层(共14层),2004年建板楼,南 北,2017.07.26,36, 距离10号线巴沟站1112米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101125378.html
西二旗租房,领秀新硅谷2号院,领秀108大两居 全明格局 采光特好  ,2室1厅,108平米,8600,中楼层(共15层),2008年建板楼,南,2017.07.26,42, 距离13号线西二旗站1094米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101398156.html
清河租房,宝盛里,宝盛里南北通透两居，看房随时，诚心出租,2室1厅,64平米,5500,中楼层(共6层),2000年建板楼,南 北,2017.07.23,35, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101578352.html
芍药居租房,芍药居北里,精装修 经典大客厅一居 全新齐全家具家电 随时看房,1室1厅,58平米,5600,高楼层(共24层),1998年建塔楼,北,2017.07.27,60, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101533436.html
酒仙桥租房,上东三角洲,"上东三角洲东南两居室，近798,58总部，近将府公园",2室1厅,95平米,7500,低楼层(共24层),2004年建塔楼,东南,2017.07.21,29, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101511122.html
大望路租房,易构空间,西大望路   易构空间  西向开间正在出祖,1室0厅,38平米,5000,低楼层(共24层),2004年建塔楼,西,2017.07.21,37, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101541262.html
枣园租房,中建国际港,中建国际港 3室1厅 7500元,3室1厅,127平米,7500,高楼层(共34层),2013年建板塔结合,南 北,2017.07.16,31, 距离4号线枣园站70米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101583512.html
东关租房,金隅嘉和园,嘉和园南北向三居室，带电梯，配套完善,3室1厅,89平米,3700,中楼层(共21层),2010年建板塔结合,南 北,2017.07.25,18, 距离昌平线昌平东关站654米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101649594.html
果园租房,雅丽世居,雅丽世居 2室2厅 4200元,2室2厅,103平米,4200,高楼层(共18层),2005年建板楼,南 北,2017.07.19,27, 距离八通线果园站671米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101679530.html
西三旗租房,建材城西一里,建材城西一里 业主诚心出租 看房方便 ,2室1厅,58平米,3800,高楼层(共5层),1989年建板楼,南 北,2017.07.26,30, 距离8号线育新站675米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101654122.html
方庄租房,芳古园一区,芳古园一区南北通透两居室出租！,2室1厅,57平米,4900,高楼层(共6层),1991年建板楼,南 北,2017.07.26,35, 距离5号线蒲黄榆站543米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101667050.html
西红门租房,鸿坤理想城礼域府,鸿坤理想城礼域府东南向一居室诚心出租,1室1厅,68平米,4000,高楼层(共21层),2012年建塔楼,东南,2017.07.24,24, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101667114.html
冯村租房,丽景长安,丽景长安    南向      两居室,2室1厅,87平米,4500,中楼层(共23层),2012年建板楼,南,2017.07.19,35, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101669328.html
武夷花园租房,武夷花园牡丹园,南向一居室 采光良好 户型方正,1室1厅,60平米,2700,低楼层(共10层),2004年建板塔结合,西南,2017.07.17,22, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101711759.html
朝青租房,青年汇佳园,朝阳大悦城青年汇佳园高层开间6号线青年路地铁站,1室0厅,38平米,5000,中楼层(共20层),2006年建塔楼,北,2017.07.19,26, 距离6号线青年路站416米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101647794.html
常营租房,万象新天四区,带一百平大露台 已封成房子东西两居 拎包入住离地铁近,2室1厅,78平米,6600,中楼层(共5层),2005年建板楼,东 西,2017.07.26,17, 距离6号线常营站1078米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101652030.html
天通苑租房,天通苑东二区,天通苑东二区塔楼电梯一居改两居,2室1厅,75平米,4200,高楼层(共18层),2001年建塔楼,西南,2017.07.26,33, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101655904.html
建国门内租房,贡院头条,贡院头条2号院 双南向中层两居,2室1厅,51平米,6800,中楼层(共6层),1985年建板楼,南,2017.07.23,27, 距离1号线建国门站397米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101664594.html
太阳宫租房,太阳公元,南区正规一居室 全南向 装修好带有集中空调 小区安静,1室1厅,59平米,12000,中楼层(共22层),2010年建板楼,南,2017.07.21,28, 距离13号线芍药居站381米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101671773.html
玉泉路租房,金沟河12号院,金沟河12号院 交通方便 配套齐全 看房随时,1室1厅,47平米,4300,中楼层(共6层),1994年建板楼,南 北,2017.07.23,24, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101733807.html
德胜门租房,新外大街28号院,德胜门积水潭家具家电齐全两可改三居,2室1厅,53平米,6300,中楼层(共6层),1993年建板楼,西北,2017.07.26,28, 距离2号线积水潭站805米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101611638.html
北苑租房,亚奥金茂悦,亚奥金茂悦全南两居室 空房 带车位 可长租 ,2室1厅,96平米,9500,中楼层(共18层),2013年建板楼,南,2017.07.25,30, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101622680.html
CBD租房,SOHO现代城,SOHO现代城 3室1厅 15000元,3室1厅,143平米,15000,低楼层(共28层),2000年建塔楼,西,2017.07.14,31, 距离1号线大望路站366米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101634579.html
临河里租房,花涧溪二期,梨园 花涧溪二期 精装两居 拎包入住,2室1厅,82平米,3500,中楼层(共12层),2005年建板塔结合,南 北,2017.07.26,27, 距离八通线临河里站1050米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101642900.html
安定门租房,安德路47号院,安定门简装两居室，交通便利，出行方便，生活舒适！,2室1厅,54平米,6200,低楼层(共6层),1985年建板楼,东 西,2017.07.26,48, 距离2号线安定门站988米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101526304.html
大山子租房,银枫家园,酒仙桥 大山子 银枫家园 简装两居室  空房出租,2室2厅,116平米,8500,中楼层(共9层),2001年建板楼,东南,2017.07.23,19, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101569820.html
西二旗租房,领秀新硅谷1号院,领秀经典两居室全明双通透户型，家电齐全可长租！,2室1厅,96平米,8000,中楼层(共9层),2012年建板楼,南 北,2017.07.25,42, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101582558.html
朝青租房,润枫水尚,润枫水尚南向一居室 采光好 拎包入住,1室1厅,68平米,7500,低楼层(共15层),2008年建板楼,南,2017.07.27,39, 距离6号线青年路站802米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101582588.html
三元桥租房,曙光里,曙光里社区 东南/西北向两居室 看房方便 独立管理小院,2室1厅,57平米,5500,高楼层(共6层),1993年建板楼,东南 西北,2017.07.22,43, 距离机场线三元桥站899米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101594520.html
古城租房,古城北路,古城北路 3室1厅 3800元,3室1厅,56平米,3800,中楼层(共5层),1983年建板楼,南 北,2017.07.26,30, 距离1号线古城站1128米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101601403.html
奥林匹克公园租房,上林世家,上林世家，眼镜户型3居，3个卫生间。可居家可办公,3室2厅,208平米,22000,中楼层(共18层),2012年建板楼,南 北,2017.07.27,13, 距离8号线林萃桥站983米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101682099.html
鲁谷租房,七星园,七星园 2室1厅 5700元,2室1厅,94平米,5700,高楼层(共15层),2003年建板塔结合,西南,2017.07.26,40, 距离1号线八角游乐园站1058米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101647694.html
常营租房,万象新天四区,常营万象新天正规一居室全齐出租房子保持很好近地铁,1室1厅,67平米,5300,低楼层(共15层),2005年建板塔结合,西北,2017.07.24,26, 距离6号线常营站950米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101705244.html
双井租房,首城国际,首城国际 2室1厅 9500元,2室1厅,88平米,9500,中楼层(共28层),2010年建板塔结合,南,2017.07.27,26, 距离10号线双井站1086米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101711751.html
卢沟桥租房,沸城,沸城大两居 配套家具家电 干净整齐,2室1厅,78平米,4300,中楼层(共25层),2007年建板塔结合,西南,2017.07.24,26, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101608762.html
红庙租房,慈云寺,朝阳 红庙 慈云寺 双卧朝南 两居室,2室1厅,56平米,5500,中楼层(共14层),1983年建板楼,南,2017.07.23,29, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101713608.html
公主坟租房,翠微中里,翠微中里 装修好 家具家电齐全 采光好 万寿路 公主坟,2室1厅,64平米,5500,高楼层(共6层),1992年建板楼,南 北,2017.07.24,34, 距离1号线万寿路站1061米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101664436.html
双井租房,富力城C区,富力城C三居，业主诚意出租，重新装修，给您全新的家,3室1厅,162平米,20000,中楼层(共25层),2005年建板塔结合,南,2017.07.20,17, 距离10号线双井站600米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101699653.html
苏州桥租房,稻香园,苏州街中关村稻香园精装修大两居楼层高视野好交通便利,2室1厅,93平米,9500,中楼层(共20层),1992年建塔楼,西北,2017.07.23,30, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101585424.html
苏州桥租房,大河庄苑,大河庄苑 3室2厅 17000元,3室2厅,148平米,17000,中楼层(共18层),2004年建板塔结合,南 北,2017.07.27,24, 距离10号线苏州街站781米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101729461.html
木樨园租房,东三亲家坟,东三亲家坟精装大两居，随时入住,2室1厅,68平米,4300,中楼层(共6层),1959年建板楼,南 北,2017.07.26,30, 距离5号线刘家窑站1057米 随时看房 精装修,https://bj.lianjia.com/zufang/101101457860.html
宣武门租房,厂甸11号院,环境优美，配套完善，小区安静，适宜居住,2室1厅,61平米,7000,高楼层(共6层),1984年建板楼,南,2017.07.23,25, 距离2号线和平门站511米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101519955.html
六里桥租房,国际,澐澐国际 温馨一居 户型方正 室内整洁,1室1厅,102平米,6800,高楼层(共26层),2008年建塔楼,东南,2017.07.27,30, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101709435.html
潞苑租房,华龙小区,华龙小区两居室 家具家电齐全 交通方便,2室1厅,68平米,2600,中楼层(共6层),1999年建板楼,南 北,2017.07.27,26, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101703371.html
甘露园租房,天天朝阳,天天朝阳小区大开间 温馨宜居 看房方便,1室0厅,57平米,4500,低楼层(共16层),2005年建塔楼,东 西,2017.07.27,46, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101537602.html
九棵树(家乐福)租房,蓝调沙龙东区,蓝调沙龙东区 2室1厅 4300元,2室1厅,80平米,4300,中楼层(共11层),2005年建板塔结合,西 北,2017.07.22,67, 距离八通线九棵树站943米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101275749.html
官园租房,富国里小区,官园 平安里 车公庄 金融街 富国里小区一居室低楼层,1室1厅,51平米,6500,低楼层(共5层),1998年建板楼,西北,2017.07.22,49, 距离4号线平安里站784米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101634074.html
顺义城租房,万科四季花城,万科洋房四居室，带50平米花园,4室1厅,154平米,8500,低楼层(共4层),2008年建板楼,南 北,2017.07.26,11, 距离15号线石门站776米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101653591.html
酒仙桥租房,风景线,风景线3居  视野好  楼层适中,3室2厅,136平米,15000,中楼层(共24层),2000年建塔楼,西南,2017.07.24,3, 距离14号线(东段)将台站800米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101763614.html
大望路租房,珠江帝景伯爵山,珠江帝景新区 三居三卫 拎包入住 南北通透,3室2厅,151平米,15000,高楼层(共16层),2005年建板楼,南 北,2017.07.24,5, 距离7号线九龙山站1080米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101752450.html
四惠租房,壹线国际,壹线国际 1室0厅 5000元,1室0厅,41平米,5000,高楼层(共9层),2008年建板楼,西,2017.07.22,19, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101782219.html
双井租房,苹果社区北区,东三环双井，苹果社区北区，精装修，随时看房,2室2厅,118平米,20000,高楼层(共21层),2008年建板塔结合,南,2017.07.19,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101794796.html
工体租房,十字坡东里,十字坡东里 2室1厅 7000元,2室1厅,56平米,7000,高楼层(共5层),1986年建板楼,南 北,2017.07.21,20, 距离2号线东直门站558米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101751467.html
清河租房,永泰西里,永泰西里 1室1厅 4300元,1室1厅,44平米,4300,中楼层(共6层),1996年建板楼,西南 西,2017.07.27,25, 距离8号线永泰庄站627米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101802271.html
五棵松租房,今日家园,今日家园复式精装三居室随时看房诚心出租,3室2厅,157平米,15000,低楼层(共9层),2000年建板塔结合,南 北,2017.07.21,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101802974.html
北七家租房,金色漫香苑,南北通透五居室， 家具家电齐全,5室1厅,180平米,9000,中楼层(共8层),2013年建板楼,南 北,2017.07.25,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101748115.html
太平桥租房,太平桥西里,太平桥西里 1室1厅 4300元,1室1厅,42平米,4300,中楼层(共18层),1993年建塔楼,南 北,2017.07.27,18, 距离9号线六里桥东站767米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101768615.html
金融街租房,京畿道,金融街 京畿道  精装修 家电家具齐全 随时看房,1室0厅,41平米,7500,中楼层(共6层),1993年建板楼,西,2017.07.27,18, 距离1号线西单站899米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101770013.html
科技园区租房,设计师广场,设计师广场精装大开间，民水民电， 带电梯拎包入住。,1室0厅,47平米,3800,中楼层(共23层),2008年建塔楼,东北,2017.07.20,22, 距离9号线丰台南路站1154米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101770548.html
菜户营租房,考拉社区,考拉社区 2室1厅 4900元,2室1厅,57平米,4900,高楼层(共21层),2005年建塔楼,西,2017.07.25,24, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101770797.html
潞苑租房,新潮嘉园二期,新潮嘉园二期五层的复式，四居两卫，一层大客厅。,4室2厅,172平米,4000,高楼层(共6层),2005年建板楼,南 北,2017.07.27,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101745092.html
芍药居租房,绿雅阁,绿雅阁 1室1厅 5600元,1室1厅,60平米,5600,低楼层(共25层),2000年建塔楼,西南,2017.07.23,16, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101782878.html
望京租房,慧谷金色家园,慧谷金色家园，通透大三居，居家生活安全舒适！,3室2厅,141平米,13000,中楼层(共12层),1999年建板塔结合,东 西,2017.07.26,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101783616.html
朝阳门外租房,三丰里小区,三丰里小区 2室1厅 7200元,2室1厅,56平米,7200,中楼层(共6层),1992年建板楼,南 北,2017.07.26,24, 距离2号线朝阳门站1164米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101786684.html
亚运村小营租房,主场,主场浩运园 精装修 小区安静 环境优美 拎包入住,1室0厅,43平米,6200,低楼层(共24层),2007年建塔楼,北,2017.07.16,24, 距离5号线大屯路东站665米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101753487.html
工体租房,工体北里,工体北里 2室1厅 7500元,2室1厅,54平米,7500,中楼层(共6层),1985年建板楼,南 北,2017.07.19,19, 距离2号线东四十条站906米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101761215.html
芍药居租房,隆远阁,隆远阁 1室1厅 7000元,1室1厅,59平米,7000,低楼层(共15层),2008年建板塔结合,西,2017.07.27,23, 距离13号线芍药居站285米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101774722.html
朝青租房,华纺易城,朝阳大悦城6号线华纺易城4+1户型精装修随时可看,4室1厅,181平米,16000,低楼层(共12层),2008年建板楼,南 西 北,2017.07.27,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101745742.html
和平里租房,和平街十五区1号院,和平街十五区两居室出租 看房随时,2室1厅,62平米,5600,中楼层(共18层),1997年建板塔结合,南,2017.07.24,5, 距离13号线光熙门站545米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101806749.html
天宁寺租房,车站东街15号院,为你而选为你为家 ， 车站东街15号院 2室1厅 69平,2室1厅,68平米,4800,高楼层(共6层),1996年建板楼,南,2017.07.16,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101808537.html
通州北苑租房,京贸国际公寓,通州北苑 经典大两居  温馨舒适  家电齐全 适合居住,2室1厅,101平米,5000,中楼层(共28层),2004年建塔楼,东,2017.07.24,8, 距离八通线八里桥站765米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101809048.html
望京租房,季景沁园,望京西地铁站 家具家电齐 装修保持的好 会所免费,2室1厅,117平米,10500,低楼层(共28层),2007年建板塔结合,西,2017.07.21,7, 距离13号线望京西站406米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101816083.html
滨河西区租房,门头沟月季园,月季园新上标准三居室，南北通透，明厨明卫，带大阳台,3室1厅,82平米,3500,中楼层(共6层),1990年建板楼,南 北,2017.07.20,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101816521.html
官园租房,北礼士路,官园 车公庄 北礼士路 人民医院 带电梯 拎包入住,1室1厅,45平米,5300,高楼层(共14层),1995年建板塔结合,西,2017.07.27,9, 距离2号线车公庄站212米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101817547.html
望京租房,花家地西里二区,花家地西里二区简装大两居，随时可以起租,2室2厅,92平米,7000,低楼层(共24层),1998年建塔楼,东南,2017.07.26,5, 距离14号线(东段)阜通站1143米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818571.html
新华大街租房,后南仓,简单装修，南北通透，采光充足的两居室,2室1厅,55平米,2500,中楼层(共6层),1982年建板楼,南 北,2017.07.17,6, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101821776.html
方庄租房,芳群公寓,芳群公寓 2室1厅 7000元,2室1厅,100平米,7000,中楼层(共11层),2000年建板塔结合,东,2017.07.22,11, 距离5号线刘家窑站312米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101826287.html
蒲黄榆租房,蒲安里,蒲安里 精装 业主自住 适合一家人住,3室0厅,70平米,6500,中楼层(共6层),1988年建板楼,南 北,2017.07.24,12, 距离5号线蒲黄榆站514米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101805194.html
健翔桥租房,安翔里小区,安翔里大两居，双卧朝南，随时入住。,2室1厅,76平米,6800,高楼层(共14层),1997年建塔楼,南 北,2017.07.26,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101806992.html
安贞租房,安华西里一区,安华西里一区一居室随时看房，交通方便,1室1厅,43平米,4500,低楼层(共16层),1986年建板塔结合,南,2017.07.26,5, 距离8号线安华桥站341米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837773.html
马家堡租房,旭日嘉园,旭日嘉园 1室1厅 4700元,1室1厅,54平米,4700,高楼层(共24层),2002年建塔楼,北,2017.07.27,13, 距离4号线角门西站261米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837021.html
四惠租房,壹线国际,壹线国际 1室0厅 5500元,1室0厅,50平米,5500,低楼层(共9层),2008年建板楼,西,2017.07.21,12, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837453.html
三里屯租房,中纺里,中纺里 新装修两居室 看房方便,2室1厅,49平米,7000,中楼层(共20层),1992年建塔楼,东南,2017.07.16,14, 距离6号线东大桥站688米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101812328.html
城子租房,和平路33号院,南北通透两居室 干净整洁 环境好,2室1厅,65平米,2600,高楼层(共6层),1986年建板楼,南 北,2017.07.16,6, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101816237.html
阜成门租房,扣钟北里,扣钟北里 1室1厅 5600元,1室1厅,44平米,5600,低楼层(共16层),1989年建板楼,东,2017.07.25,15, 距离6号线车公庄西站721米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101818426.html
滨河西区租房,皓月园,皓月园有一家具家电齐全大开间出租,1室0厅,43平米,2900,中楼层(共14层),2006年建板塔结合,北,2017.07.25,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101845880.html
北苑租房,北苑家园茉藜园,北苑家园茉藜园 2室1厅 6500元,2室1厅,109平米,6500,高楼层(共25层),2003年建塔楼,东南,2017.07.26,7, 距离5号线立水桥南站757米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101848171.html
鲁谷租房,远洋山水,远洋山水 南区 精装小两居室 看房有钥匙 家具家电齐全,2室1厅,67平米,5800,低楼层(共26层),2007年建板塔结合,西,2017.07.22,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101842969.html
卢沟桥租房,晓月新城,晓月新城  一居室  诚心出租,1室1厅,55平米,3200,中楼层(共24层),2008年建塔楼,东南,2017.07.26,8, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101845344.html
蒲黄榆租房,蒲安里,蒲安里 精装 业主自住 适合一家人住,3室0厅,70平米,6500,中楼层(共6层),1988年建板楼,南 北,2017.07.24,12, 距离5号线蒲黄榆站514米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101805194.html
健翔桥租房,安翔里小区,安翔里大两居，双卧朝南，随时入住。,2室1厅,76平米,6800,高楼层(共14层),1997年建塔楼,南 北,2017.07.26,7, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101806992.html
苏州桥租房,万泉庄小区,万泉庄中间楼层三居 两南一北 业主自住精装修！,3室1厅,79平米,12000,中楼层(共6层),1989年建板楼,南 北,2017.07.26,7, 距离10号线苏州街站1153米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101807298.html
